Id;Nama;Alamat;Media Sosial;Foto;KOTA
1;Dira Firsti Syawalia Putri;Jl. Raya Cibinong-Sentul City, Bogor;@firsti_dira;s3-01.jpeg;Bogor
2;Muhammad Alief Jukarna;Jl. Pandu Raya, Kota Bogor;@alifjukarna82_;s2-01.jpeg;Bogor
3;Alif Diaz Tri Wardhana;Jl Raya Cibinong - Depok, Bogor;@diastrii_;s1-01.jpeg;Bogor
4;Gilang Wahyu Dwi Widodo;Jl Ciriung Cibinong, Bogor;@glngwhyu;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-15.png;Bogor
5;Ade Putri Pramuditya;"Jl. Teuku Chik Di Tiro No. 9, Banda Aceh	";@putripramuditya;356-3568165_blank-profile-picture-female-12.png;Aceh
6;Muhammad Reza;"Jl. Teuku Umar No. 12, Banda Aceh	";@mreza_aceh ;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-16.png;Aceh
7;Siti Aisyah;"Jl. Sultan Iskandar Muda No. 8, Banda Aceh	";@siti_aisyah;356-3568165_blank-profile-picture-female-13.png;Aceh
8;Ahmad Zulkarnain;"Jl. Cut Nyak Dhien No. 5, Lhokseumawe	";@ahmad_zul ;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-17.png;Aceh
9;Rahmawati Lubis;"Jl. Raya Candidasa No. 15, Karangasem	";@rahmawati.lubis;356-3568165_blank-profile-picture-female-14.png;Bali
10;Fitriani Aziz;"Jl. Raya Tanah Lot No. 18, Tabanan	";@fitri.aziz;356-3568165_blank-profile-picture-female-15.png;Bali
11;Putu Widiantara;Jl. Raya Kuta No. 45, Kuta;@putuwidiantara;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-18.png;Bali
12;Made Sari Dewi;Jl. Danau Tamblingan No. 12, Sanur;@madesaridewi;356-3568165_blank-profile-picture-female-16.png;Bali
13;Nyoman Arya Pratama;Jl. Raya Ubud No. 8, Ubud;@nyomanarya;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-19.png;Bali
14;Adi Setiawan;Jl. MT Haryono No. 45;@adisetiabpn;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-20.png;Balikpapan
15;Citra Puspita;Jl. Letjen Suprapto No. 23;@citrapuspita_bpn;356-3568165_blank-profile-picture-female-17.png;Balikpapan
16;Dian Anggraini;Jl. Jenderal Sudirman No. 67;@diananggraini_balikpapan;356-3568165_blank-profile-picture-female-18.png;Balikpapan
17;Eko Prasetyo;Jl. Syarifuddin Yoes No. 89;@ekoprasetyo_bpn;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-21.png;Balikpapan
18;Ahmad Rizky Maulana;Jl. Braga No. 10, Bandung;@ahmadrizky;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-22.png;Bandung
19;Siti Aisyah Putri;Jl. Dago Atas No. 22, Bandung;@sitiaisyah;356-3568165_blank-profile-picture-female-19.png;Bandung
20;Budi Santoso;Jl. Riau No. 17, Bandung;@budisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-23.png;Bandung
21;Dian Lestari;Jl. Asia Afrika No. 5, Bandung;@dianlestari;356-3568165_blank-profile-picture-female-20.png;Bandung
22;Rina Wijayanti;Jl. Setiabudi No. 45, Bandung;@rinawijayanti;356-3568165_blank-profile-picture-female-21.png;Bandung
23;"Ahmad Fauzi	";"Jl. Lambung Mangkurat No. 10, Banjarmasin	";@ahmadfauzi;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-24.png;Banjarmasin
24;"Siti Nurhaliza	";"Jl. Ahmad Yani Km. 5, Banjarmasin	";@sitinurhaliza;356-3568165_blank-profile-picture-female-22.png;Banjarmasin
25;"Budi Hartono	";"Jl. Veteran No. 12, Banjarmasin	";@budihartono;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-25.png;Banjarmasin
26;"Ahmad Darmawan	";"Jl. Engku Putri No. 5, Batam Center	";@ahmaddarmawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-26.png;Batam
27;"Siti Hidayati	";"Jl. Gajah Mada No. 12, Nagoya	";@sitihidayati;356-3568165_blank-profile-picture-female-23.png;Batam
28;"Dian Pratiwi	";"Jl. Marina City No. 20, Tanjung Uncang	";@dianpratiwi;356-3568165_blank-profile-picture-female-24.png;Batam
29;"Rina Kusuma	";"Jl. Ahmad Yani No. 14, Baloi	";@rinakusuma;356-3568165_blank-profile-picture-female-25.png;Batam
30;"Agus Wahyudi	";"Jl. Margonda Raya No. 9, Pondok Gede	";@aguswahyudi;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-27.png;Bekasi
31;"Ahmad Farhan	";"Jl. Jendral Sudirman No. 21, Bekasi	";@ahmadfarhan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-28.png;Bekasi
32;"Siti Rahmawati	";"Jl. Ahmad Yani No. 10, Bekasi Selatan	";@sitirahmawati;356-3568165_blank-profile-picture-female-26.png;Bekasi
33;"Budi Setiawan	";"Jl. Cut Meutia No. 8, Bekasi Timur	";@budisetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-29.png;Bekasi
34;"Ahmad Zainuddin	";"Jl. Merdeka No. 10, Blitar	";@ahmadzainuddin;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-30.png;Blitar
35;"Siti Nurjanah	";"Jl. Diponegoro No. 15, Blitar	";@sitinurjanah;356-3568165_blank-profile-picture-female-27.png;Blitar
36;"Rina Oktaviani	";"Jl. Anggrek No. 3, Blitar	";@rinaoktaviani;356-3568165_blank-profile-picture-female-28.png;Blitar
37;"Ahmad Syafrizal	";"Jl. Sudirman No. 10, Bukittinggi	";@ahmadsyafrizal;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-31.png;Bukit Tinggi
38;"Nurul Izzati	";"Jl. Perwira No. 20, Bukittinggi	";@nurulizzati;356-3568165_blank-profile-picture-female-29.png;Bukit Tinggi
39;"Fitri Andriani	";"Jl. Cipto Mangunkusumo No. 10, Cirebon	";@fitriandriani;356-3568165_blank-profile-picture-female-30.png;Cirebon
40;Dodi Nugraha;"Jl. Pangeran Diponegoro No. 14, Cirebon	";@dodinugraha;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-32.png;Cirebon
41;"Dian Setiawan	";"Jl. Ahmad Yani No. 12, Demak	";@diansetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-33.png;Demak
42;"Siti Mawar	";"Jl. Pemuda No. 15, Demak	";@sitimawar;356-3568165_blank-profile-picture-female-31.png;Demak
43;"Andika Pratama	";"Jl. Margonda Raya No. 10, Depok	";@andikapratama;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-34.png;Depok
44;"Rini Susanti	";"Jl. Cinere Raya No. 8, Depok	";@rinisusanti;356-3568165_blank-profile-picture-female-32.png;Depok
45;"Fahmi Rachman	";"Jl. Raya Bogor No. 12, Depok	";@fahmirachman;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-35.png;Depok
46;"Ade Setiawan	";"Jl. Pahlawan No. 5, Garut	";@adesetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-36.png;Garut
47;"Nita Permata	";"Jl. Merdeka No. 10, Garut	";@nitapermata;356-3568165_blank-profile-picture-female-33.png;Garut
48;"Rudi Saputra	";"Jl. Guntur No. 15, Garut	";@rudisaputra;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-37.png;Garut
49;"Rina Setiawan	";"Jl. Diponegoro No. 10, Gresik	";@rinasetiawan;356-3568165_blank-profile-picture-female-34.png;Gresik
50;"Ahmad Susanto	";"Jl. A. Yani No. 15, Gresik	";@ahmadsusanto;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-38.png;Gresik
51;"Siti Rahayu	";"Jl. Gajah Mada No. 20, Gresik	";@sitirahayu;356-3568165_blank-profile-picture-female-35.png;Gresik
52;"Budi Santoso	";"Jl. Pemuda No. 10, Indramayu	";@budisantoso;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-39.png;Indramayu
53;"Desi Wahyuni	";"Jl. Jendral Sudirman No. 15, Indramayu	";@desiwahyuni;356-3568165_blank-profile-picture-female-36.png;Indramayu
54;"Agus Setiawan	";"Jl. Ahmad Yani No. 20, Indramayu	";@agussetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-40.png;Indramayu
55;"Andi Prasetyo	";"Jl. Sudirman No. 10, Jambi	";@andiprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-41.png;Jambi
56;"Rini Cahyani	";"Jl. A. Yani No. 15, Jambi	";@rinicahyani;356-3568165_blank-profile-picture-female-37.png;Jambi
57; Doni Renaldi;"Jl. Thamrin No. 20, Jakarta Pusat	";@RenaldiDoni;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-42.png;Jakarta
58;"Siti Aminah	";"Jl. Sudirman No. 35, Jakarta Selatan	";@sitiaminah;356-3568165_blank-profile-picture-female-38.png;Jakarta
59;"Dian Permatasari	";"Jl. Gatot Subroto No. 5, Jakarta Selatan	";@dianpermatasari;356-3568165_blank-profile-picture-female-39.png;Jakarta
60;"Ahmad Fauzi	";"Jl. Ahmad Yani No. 10, Jember	";@ahmadfauzi;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-43.png;Jember
61;"Fitri Handayani	";"Jl. Diponegoro No. 15, Jember	";@fitrihandayani;356-3568165_blank-profile-picture-female-40.png;Jember
62;"Yuni Kurniasari	";"Jl. Gajah Mada No. 20, Jember	";@yunikurniasari;356-3568165_blank-profile-picture-female-41.png;Jember
63;"Eko Prasetyo	";"Jl. Pemuda No. 10, Jepara	";@ekoprasetyo;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-44.png;Jepara
64;"Rina Suryani	";"Jl. Kartini No. 15, Jepara	";@rinasuryani;356-3568165_blank-profile-picture-female-42.png;Jepara
65;"Rudi Setiawan	";"Jl. Ahmad Yani No. 10, Karawang	";@rudisetiawan;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-45.png;Karawang
66;"Andi Saputra	";"Jl. Diponegoro No. 20, Karawang	";@andisaputra;depositphotos_39258143-stock-illustration-businessman-avatar-profile-picture-removebg-preview-46.png;Karawang
67;"Siti Nurjanah	";"Jl. Merdeka No. 10, Kediri	";@sitinurjanah;356-3568165_blank-profile-picture-female-43.png;Kediri
